Ma(hex),MacroID,Ten ngan,Mo ta,Vao,Ra,Param,Obsolete,Nhom
8000,DI_TG,,DI NA - Digital Input without Alarm (obs),1,2,1,x,Canh bao (Alarm)
8001,DIA_TG,,DI A - Digital Input with Alarm (obs),1,2,3,x,Canh bao (Alarm)
8005,CD_TG,,CAL_D NA - Cal Digital without Alarm (obs),2,2,1,x,Canh bao (Alarm)
8006,CDA_TG,,CAL_D A - Cal Digital with Alarm (obs),2,2,3,x,Canh bao (Alarm)
8009,AI_TG,,AI NA - AI without Alarm (obs),1,2,1,x,Canh bao (Alarm)
800A,AI1FA_TG,,AI FA1 - AI with Fixed Alarm 1-Level (obs),1,4,7,x,Canh bao (Alarm)
800B,AI2FA_TG,,AI FA2 - AI with Fixed Alarm 2-Level (obs),1,6,13,x,Canh bao (Alarm)
800C,AI3FA_TG,,AI FA3 - AI with Fixed Alarm 3-Level (obs),1,8,19,x,Canh bao (Alarm)
800D,AI1VA_TG,,AI VA1 - AI with Variable Alarm 1-Level (obs),3,4,5,x,Canh bao (Alarm)
800F,AI3VA_TG,,AI VA3 - AI with Variable Alarm 3-Level (obs),7,8,13,x,Canh bao (Alarm)
8013,CA_TG,,CAL_A NA  - Cal Analog without Alarm (obs),2,2,1,x,Canh bao (Alarm)
208C,AA3_TS,AIA3,AIA3 - Analog Input Alarm 3 (obs),1,1,5,x,Canh bao (Alarm)
8228,ALM1F_TG,ALM1F,ALM1F - Analog Input with Fixed Alarm 1-Level,4,4,12,,Canh bao (Alarm)
8229,ALM1V_TG,ALM1V,ALM1V - Analog Input with Variable Alarm 1-Level,6,4,9,,Canh bao (Alarm)
822A,ALM2F_TG,ALM2F,ALM2F - Analog Input with Fixed Alarm 2-Level,4,6,20,,Canh bao (Alarm)
822B,ALM2V_TG,ALM2V,ALM2V - Analog Input with Variable Alarm 2-Level,8,6,15,,Canh bao (Alarm)
822C,ALM3F_TG,ALM3F,ALM3F - Analog Input with Fixed Alarm 3-Level,4,8,28,,Canh bao (Alarm)
822D,ALM3V_TG,ALM3V,ALM3V - Analog Input with Variable Alarm 3-Level,10,8,21,,Canh bao (Alarm)
822E,DALM_TG,DALM,DALM - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
82FE,82FE_TG,DALM1,DALM1 - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
8300,8300_TG,DALM2,DALM2 - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
8239,GDI_TG,GWDI,GWDI - Gateway Digital Input without Alarm,2,2,3,,Canh bao (Alarm)
82EA,82EA_TG,GWDI1,Geteway Digital Input without Alarm,2,2,3,,Canh bao (Alarm)
82EE,82EE_TG,GWDI2,Geteway Digital Input without Alarm,2,2,3,,Canh bao (Alarm)
82F2,82F2_TG,GWDI3,Geteway Digital Input without Alarm,2,2,3,,Canh bao (Alarm)
823A,GDIA_TG,GWDIA,GWDIA - Gateway Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
82EB,82EB_TG,GWDIA1,Geteway Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
82EF,82EF_TG,GWDIA2,Geteway Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
82F3,82F3_TG,GWDIA3,Geteway Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
8230,IDIA_TG,IDIA,IDALM - Intelligent Digital Input with Alarm,6,2,6,,Canh bao (Alarm)
82D5,82D5_TG,SOE,SOE with Alarm,2,2,5,,Canh bao (Alarm)
20DE,SOE0_TS,SOE0,SOE Initialize(for HCNT),0,0,0,,Canh bao (Alarm)
20DF,SOE1_TS,SOE1,SOE(for HCNT),0,0,0,,Canh bao (Alarm)
823C,823C_TG,XFRDIA,X-DIA - Digital Input with Alarm for Transfer,4,4,5,,Canh bao (Alarm)
802C,CBDS_TG,,CB & DS - CB & Disconnection Switch (obs),12,6,1,x,Chon/Nut nhan (Selector/PB)
803B,SS1_TG,,SLS1 - Selection Switch 1 (obs),16,9,1,x,Chon/Nut nhan (Selector/PB)
803C,SS2_TG,,SLS2 - Selection Switch 2 (obs),16,9,1,x,Chon/Nut nhan (Selector/PB)
805F,SS3_TG,,SLS3 - Selection Switch 3 (obs),26,10,1,x,Chon/Nut nhan (Selector/PB)
4400,4400_I,4400,PB (2x5),0,0,12,,Chon/Nut nhan (Selector/PB)
4401,4401_I,4401,PB (1x1),0,0,4,,Chon/Nut nhan (Selector/PB)
4402,4402_I,4402,PB (1x2 / PB-PB),0,0,6,,Chon/Nut nhan (Selector/PB)
4403,4403_I,4403,PB (1x3 / PB-PB-PB),0,0,8,,Chon/Nut nhan (Selector/PB)
4404,4404_I,4404,PB (1x2 / PB-Lamp),0,0,6,,Chon/Nut nhan (Selector/PB)
4405,4405_I,4405,PB (2x2),0,0,10,,Chon/Nut nhan (Selector/PB)
4406,4406_I,4406,PB (1x3 / PB-Lamp-PB),0,0,8,,Chon/Nut nhan (Selector/PB)
4407,4407_I,4407,PB (1x3 / PB-PB-Lamp),0,0,8,,Chon/Nut nhan (Selector/PB)
509A,F_509A_I,509A,Maximum Value Selector - 2-input,2,1,0,,Chon/Nut nhan (Selector/PB)
509B,F_509B_I,509B,Maximum Value Selector - 2-input,3,1,0,,Chon/Nut nhan (Selector/PB)
509C,F_509C_I,509C,Maximum Value Selector - 3-input,3,1,0,,Chon/Nut nhan (Selector/PB)
509D,F_509D_I,509D,Maximum Value Selector - 3-input,4,1,0,,Chon/Nut nhan (Selector/PB)
509E,F_509E_I,509E,Maximum Value Selector - 4-input,4,1,0,,Chon/Nut nhan (Selector/PB)
509F,F_509F_I,509F,Maximum Value Selector - 4-input,5,1,0,,Chon/Nut nhan (Selector/PB)
5100,F_5100_I,5100,Maximum Value Selector - 5-input,5,1,0,,Chon/Nut nhan (Selector/PB)
5101,F_5101_I,5101,Maximum Value Selector - 5-input,6,1,0,,Chon/Nut nhan (Selector/PB)
5102,F_5102_I,5102,Maximum Value Selector - 6-input,6,1,0,,Chon/Nut nhan (Selector/PB)
5103,F_5103_I,5103,Maximum Value Selector - 6-input,7,1,0,,Chon/Nut nhan (Selector/PB)
5104,F_5104_I,5104,Maximum Value Selector - 7-input,7,1,0,,Chon/Nut nhan (Selector/PB)
5105,F_5105_I,5105,Maximum Value Selector - 7-input,8,1,0,,Chon/Nut nhan (Selector/PB)
5106,F_5106_I,5106,Maximum Value Selector - 8-input,8,1,0,,Chon/Nut nhan (Selector/PB)
5107,F_5107_I,5107,Maximum Value Selector - 8-input,9,1,0,,Chon/Nut nhan (Selector/PB)
5108,F_5108_I,5108,Minimum Value Selector - 2-input,2,1,0,,Chon/Nut nhan (Selector/PB)
5109,F_5109_I,5109,Minimum Value Selector - 2-input,3,1,0,,Chon/Nut nhan (Selector/PB)
510A,F_510A_I,510A,Minimum Value Selector - 3-input,3,1,0,,Chon/Nut nhan (Selector/PB)
510B,F_510B_I,510B,Minimum Value Selector - 3-input,4,1,0,,Chon/Nut nhan (Selector/PB)
510C,F_510C_I,510C,Minimum Value Selector - 4-input,4,1,0,,Chon/Nut nhan (Selector/PB)
510D,F_510D_I,510D,Minimum Value Selector - 4-input,5,1,0,,Chon/Nut nhan (Selector/PB)
510E,F_510E_I,510E,Minimum Value Selector - 5-input,5,1,0,,Chon/Nut nhan (Selector/PB)
510F,F_510F_I,510F,Minimum Value Selector - 5-input,6,1,0,,Chon/Nut nhan (Selector/PB)
5110,F_5110_I,5110,Minimum Value Selector - 6-input,6,1,0,,Chon/Nut nhan (Selector/PB)
5111,F_5111_I,5111,Minimum Value Selector - 6-input,7,1,0,,Chon/Nut nhan (Selector/PB)
5112,F_5112_I,5112,Minimum Value Selector - 7-input,7,1,0,,Chon/Nut nhan (Selector/PB)
5113,F_5113_I,5113,Minimum Value Selector - 7-input,8,1,0,,Chon/Nut nhan (Selector/PB)
5114,F_5114_I,5114,Minimum Value Selector - 8-input,8,1,0,,Chon/Nut nhan (Selector/PB)
5115,F_5115_I,5115,Minimum Value Selector - 8-input,9,1,0,,Chon/Nut nhan (Selector/PB)
5116,F_5116_I,5116,Middle Value Selector,3,1,0,,Chon/Nut nhan (Selector/PB)
5117,F_5117_I,5117,Middle Value Selector,4,1,0,,Chon/Nut nhan (Selector/PB)
513D,513D_I,513D,Analog Switch,3,1,0,,Chon/Nut nhan (Selector/PB)
513E,513E_I,513E,Digital Switch,3,1,0,,Chon/Nut nhan (Selector/PB)
514F,F_514F_I,514F,Middle Value Selector(Balance Compensation),5,2,0,,Chon/Nut nhan (Selector/PB)
0058,ASW_T,ANALOG-SWITCH,ASW - Analog Switch (obs),3,1,0,x,Chon/Nut nhan (Selector/PB)
20FA,F_ASH_TS,ASH,Analog Switch(for HCNT),3,1,0,,Chon/Nut nhan (Selector/PB)
4018,D_CONS_I,D-CONST,DSW - Digital Switch,0,1,2,,Chon/Nut nhan (Selector/PB)
1030,DSW_TS,Digital-Switch,DSW - Switching Digital Signal (obs),3,1,0,x,Chon/Nut nhan (Selector/PB)
004A,HS_T,HIGH-SELECTOR,>H - High Value Selector (obs),2,1,0,x,Chon/Nut nhan (Selector/PB)
4042,HIS1_I,HISEL1,> - High Value Selector (in:Left & Downside),2,1,0,,Chon/Nut nhan (Selector/PB)
4043,HIS2_I,HISEL2,> - High Value Selector (in:Left & Upside),2,1,0,,Chon/Nut nhan (Selector/PB)
4044,HIS3_I,HISEL3,> - High Value Selector (in:Upside & Downside),2,1,0,,Chon/Nut nhan (Selector/PB)
821D,LBP1_TG,LBP-1,LPB-1 - PB with Indicator 1,1,1,4,,Chon/Nut nhan (Selector/PB)
821E,LBP2_TG,LBP-2,LPB-2 - PB with Indicator 2,2,2,5,,Chon/Nut nhan (Selector/PB)
821F,LBP3_TG,LBP-3,LPB-3 - PB with Indicator 3,3,3,6,,Chon/Nut nhan (Selector/PB)
8220,LBP4_TG,LBP-4,LPB-4 - PB with Indicator 4,4,4,7,,Chon/Nut nhan (Selector/PB)
8221,LBP5_TG,LBP-5,LPB-5 - PB with Indicator 5,5,5,8,,Chon/Nut nhan (Selector/PB)
8222,LBP6_TG,LBP-6,LPB-6 - PB with Indicator 6,6,6,9,,Chon/Nut nhan (Selector/PB)
8223,LBP7_TG,LBP-7,LPB-7 - PB with Indicator 7,7,7,10,,Chon/Nut nhan (Selector/PB)
8224,LBP8_TG,LBP-8,LPB-8 - PB with Indicator 8,8,8,11,,Chon/Nut nhan (Selector/PB)
004B,LS_T,LOW-SELECTOR,<L - Low Value Selector (obs),2,1,0,x,Chon/Nut nhan (Selector/PB)
4045,LOS1_I,LOWSEL1,< - Low Value Selector (in:Left & Downside),2,1,0,,Chon/Nut nhan (Selector/PB)
4046,LOS2_I,LOWSEL2,< - Low Value Selector (in:Left & Upside),2,1,0,,Chon/Nut nhan (Selector/PB)
4047,LOS3_I,LOWSEL3,< - Low Value Selector (in:Upside & Downside),2,1,0,,Chon/Nut nhan (Selector/PB)
4067,F_MAX_I,MAX,MAX - Maximum Value Selector,3,1,0,,Chon/Nut nhan (Selector/PB)
100B,MED_TS,MEDIUM,MED - Middle Value Selector (obs),3,1,0,x,Chon/Nut nhan (Selector/PB)
4069,F_MID_I,MID,MID - Midium Value Selector,3,1,0,,Chon/Nut nhan (Selector/PB)
4068,F_MIN_I,MIN,MIN - Minimum Value Selector,3,1,0,,Chon/Nut nhan (Selector/PB)
8216,SEL2_TG,SEL-2PB,SEL-2PB - Selector 2,4,2,5,,Chon/Nut nhan (Selector/PB)
8217,SEL3_TG,SEL-3PB,SEL-3PB - Selector 3,6,3,6,,Chon/Nut nhan (Selector/PB)
8218,SEL4_TG,SEL-4PB,SEL-4PB - Selector 4,8,4,7,,Chon/Nut nhan (Selector/PB)
8219,SEL5_TG,SEL-5PB,SEL-5PB - Selector 5,10,5,8,,Chon/Nut nhan (Selector/PB)
821A,SEL6_TG,SEL-6PB,SEL-6PB - Selector 6,12,6,9,,Chon/Nut nhan (Selector/PB)
821B,SEL7_TG,SEL-7PB,SEL-7PB - Selector 7,14,7,10,,Chon/Nut nhan (Selector/PB)
821C,SEL8_TG,SEL-8PB,SEL-8PB - Selector 8,16,8,11,,Chon/Nut nhan (Selector/PB)
82D0,82D0_TG,SELABN,Selection with ABN input,17,8,11,,Chon/Nut nhan (Selector/PB)
4123,F_4123_I,SORT,Sorting without switch,1,2,2,,Chon/Nut nhan (Selector/PB)
4124,F_4124_I,SORT,Sorting with switch,2,2,2,,Chon/Nut nhan (Selector/PB)
8200,SWGR_TG,SWGR,SWGR - Switchgear,18,8,11,,Chon/Nut nhan (Selector/PB)
8201,SWGRL_TG,SWGR-L,SWGR-L - Switchgear Linkage,20,10,13,,Chon/Nut nhan (Selector/PB)
4048,TRA1_I,TRANS1,T - Transfer 1 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
4049,TRA2_I,TRANS2,T - Transfer 2 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
404A,TRA3_I,TRANS3,T - Transfer 3 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
404B,TRA4_I,TRANS4,T - Transfer 4 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
404C,TRA5_I,TRANS5,T - Transfer 5 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
404D,TRA6_I,TRANS6,T - Transfer 6 (Analog Switch),3,1,1,,Chon/Nut nhan (Selector/PB)
8242,8242_TG,XFRSEL8,LAMP & PB - Selector for Transfer,17,8,11,,Chon/Nut nhan (Selector/PB)
8240,8240_TG,XFRSWGR,X-SWGR - Switchgear for Transfer,17,6,9,,Chon/Nut nhan (Selector/PB)
5133,F_5133_I,5133,Level Converter,3,1,0,,Chuyen doi (Converter)
5134,F_5134_I,5134,Level Converter,4,1,0,,Chuyen doi (Converter)
5143,5143_I,5143,Real -> Integer Converter,1,1,0,,Chuyen doi (Converter)
5144,5144_I,5144,Real -> Integer Converter,2,1,0,,Chuyen doi (Converter)
5145,5145_I,5145,Real -> Integer Converter,1,2,0,,Chuyen doi (Converter)
5146,5146_I,5146,Real -> Integer Converter,2,2,0,,Chuyen doi (Converter)
5147,5147_I,5147,Real -> Integer Converter,1,1,0,,Chuyen doi (Converter)
5148,5148_I,5148,Real -> Integer Converter,2,1,0,,Chuyen doi (Converter)
5149,5149_I,5149,Real -> Integer Converter,1,2,0,,Chuyen doi (Converter)
514A,514A_I,514A,Real -> Integer Converter,2,2,0,,Chuyen doi (Converter)
514B,514B_I,514B,Integer -> Real Converter,1,1,0,,Chuyen doi (Converter)
514C,514C_I,514C,Integer -> Real Converter,2,1,0,,Chuyen doi (Converter)
20BF,ABC1_TS,ABC,ABC - ASCII -> Binary Converter (obs),1,1,1,x,Chuyen doi (Converter)
20C0,BAC1_TS,BAC,BAC - Binary -> ASCII Converter (obs),1,1,1,x,Chuyen doi (Converter)
40D3,40D3_I,BCD-WORD,CBD - Binary -> BCD Converter,1,1,0,,Chuyen doi (Converter)
1029,CBD_TS,BCD-WORD,CBD - Binary -> BCD Converter (obs),1,1,0,x,Chuyen doi (Converter)
40D2,40D2_I,CBF,CBF - Integer -> Real Converter,1,1,0,,Chuyen doi (Converter)
4153,4153_I,CBF2,Combine Two 16 bit data into 32 bit data,2,1,0,,Chuyen doi (Converter)
20EC,CBF2_TS,CBF2,CFB2 - 2 Integer -> 1 Real Converter (obs),2,1,0,x,Chuyen doi (Converter)
40D1,40D1_I,CFB,CFB - Real -> Integer Converter,1,1,0,,Chuyen doi (Converter)
20EB,CFB2_TS,CFB2,CBF2 - 1 Real -> 2 Integer Converter (obs),1,2,0,x,Chuyen doi (Converter)
40B7,D2I_I,D2I,DtoI - Digital -> Integer Converter,16,1,0,,Chuyen doi (Converter)
20A2,FCN1_TS,FCN1,FCN1 - ICI -> C900 Floating Converter (obs),2,4,0,x,Chuyen doi (Converter)
20A3,FCN2_TS,FCN2,FCN2 - C900 -> ICI Floating Converter (obs),2,3,0,x,Chuyen doi (Converter)
20E9,FCN3_TS,FCN3,FCN3 - ICI -> C900 Floating Converter (obs),2,3,0,x,Chuyen doi (Converter)
20EA,FCN4_TS,FCN4,FCN4 - C900 -> ICI Floating Converter (obs),1,3,0,x,Chuyen doi (Converter)
4102,F_4102_I,FDCL,Frequency Digital Converter Module Interface,3,5,5,,Chuyen doi (Converter)
1020,CFB_TS,FLORT-INT,CFB - Real -> Integer Converter (obs),1,1,0,x,Chuyen doi (Converter)
40B6,I2D_I,I2D,ItoD - Integer -> Digital Converter,1,16,0,,Chuyen doi (Converter)
1021,CBF_TS,INT-FLORT,CBF - Integer -> Real Converter (obs),1,1,0,x,Chuyen doi (Converter)
40D4,40D4_I,WORD-BCD,CDB - BCD -> Binary Converter,1,1,0,,Chuyen doi (Converter)
102A,CDB_TS,WORD-BCD,CDB - BCD -> Binary Converter (obs),1,1,0,x,Chuyen doi (Converter)
8047,S4_TG,,STR_M MV - Setter 4 (Mod Ctrl MV) (obs),11,3,8,x,Du lieu (Data/Move)
4129,F_4129_I,4129,Config Macro for MISO Transfer Function Macro1,0,0,87,,Du lieu (Data/Move)
412A,F_412A_I,412A,Config Macro for MISO Transfer Function Macro2,0,0,87,,Du lieu (Data/Move)
412B,F_412B_I,412B,Config Macro for MISO Transfer Function Macro3,0,0,81,,Du lieu (Data/Move)
4408,4408_I,4408,Table1 (data:2x3),0,0,8,,Du lieu (Data/Move)
4409,4409_I,4409,Table1 (data:2x4),0,0,10,,Du lieu (Data/Move)
440A,440A_I,440A,Table1 (data:2x5),0,0,12,,Du lieu (Data/Move)
440B,440B_I,440B,Table1 (data:2x6),0,0,14,,Du lieu (Data/Move)
440C,440C_I,440C,Table2 (data:3x 1),0,0,7,,Du lieu (Data/Move)
440D,440D_I,440D,Table2 (data:3x 2),0,0,10,,Du lieu (Data/Move)
440E,440E_I,440E,Table2 (data:3x 3),0,0,13,,Du lieu (Data/Move)
440F,440F_I,440F,Table2 (data:3x 4),0,0,16,,Du lieu (Data/Move)
4410,4410_I,4410,Table2 (data:3x 5),0,0,19,,Du lieu (Data/Move)
4411,4411_I,4411,Table2 (data:3x 6),0,0,22,,Du lieu (Data/Move)
4412,4412_I,4412,Table2 (data:3x 7),0,0,25,,Du lieu (Data/Move)
4413,4413_I,4413,Table2 (data:3x 8),0,0,28,,Du lieu (Data/Move)
4414,4414_I,4414,Table2 (data:3x 9),0,0,31,,Du lieu (Data/Move)
4415,4415_I,4415,Table2 (data:3x10),0,0,34,,Du lieu (Data/Move)
4416,4416_I,4416,Table2 (data:3x11),0,0,37,,Du lieu (Data/Move)
4417,4417_I,4417,Table2 (data:3x12),0,0,40,,Du lieu (Data/Move)
4418,4418_I,4418,Table3 (data:6x 6),0,0,43,,Du lieu (Data/Move)
4419,4419_I,4419,Table3 (data:6x 7),0,0,49,,Du lieu (Data/Move)
441A,441A_I,441A,Table3 (data:6x 8),0,0,55,,Du lieu (Data/Move)
441B,441B_I,441B,Table3 (data:6x 9),0,0,61,,Du lieu (Data/Move)
441C,441C_I,441C,Table3 (data:6x10),0,0,67,,Du lieu (Data/Move)
441D,441D_I,441D,Table4 (data:2x8 / title:1),0,0,19,,Du lieu (Data/Move)
441E,441E_I,441E,Table4 (data:2x8 / title:2),0,0,21,,Du lieu (Data/Move)
441F,441F_I,441F,Table4 (data:3x8 / title:2),0,0,31,,Du lieu (Data/Move)
4420,4420_I,4420,Table5 (data:6x2),0,0,19,,Du lieu (Data/Move)
4421,4421_I,4421,Table5 (data:6x3),0,0,25,,Du lieu (Data/Move)
4422,4422_I,4422,Table5 (data:6x4),0,0,31,,Du lieu (Data/Move)
4423,4423_I,4423,Table5 (data:6x5),0,0,37,,Du lieu (Data/Move)
4424,4424_I,4424,Table6 (data:8x2),0,0,25,,Du lieu (Data/Move)
4425,4425_I,4425,Table6 (data:8x3),0,0,33,,Du lieu (Data/Move)
4426,4426_I,4426,Table6 (data:8x4),0,0,41,,Du lieu (Data/Move)
4427,4427_I,4427,Table6 (data:8x5),0,0,49,,Du lieu (Data/Move)
4428,4428_I,4428,Table2 (data:3x13),0,0,43,,Du lieu (Data/Move)
501B,501B_I,501B,AND Register,2,1,0,,Du lieu (Data/Move)
501C,501C_I,501C,AND Register,3,1,0,,Du lieu (Data/Move)
501D,501D_I,501D,AND Register,2,2,0,,Du lieu (Data/Move)
501E,501E_I,501E,AND Register,3,2,0,,Du lieu (Data/Move)
501F,501F_I,501F,OR Register,2,1,0,,Du lieu (Data/Move)
5020,5020_I,5020,OR Register,3,1,0,,Du lieu (Data/Move)
5021,5021_I,5021,OR Register,2,2,0,,Du lieu (Data/Move)
5022,5022_I,5022,OR Register,3,2,0,,Du lieu (Data/Move)
5023,5023_I,5023,Exclusive OR Register,2,1,0,,Du lieu (Data/Move)
5024,5024_I,5024,Exclusive OR Register,3,1,0,,Du lieu (Data/Move)
5025,5025_I,5025,Exclusive OR Register,2,2,0,,Du lieu (Data/Move)
5026,5026_I,5026,Exclusive OR Register,3,2,0,,Du lieu (Data/Move)
5027,5027_I,5027,Register Clear,0,1,0,,Du lieu (Data/Move)
5028,5028_I,5028,Register Clear,1,1,0,,Du lieu (Data/Move)
5135,5135_I,5135,Data Transfer (Digital),1,1,0,,Du lieu (Data/Move)
5136,5136_I,5136,Data Transfer (Analog),1,1,0,,Du lieu (Data/Move)
5142,F_5142_I,5142,Bump Less Transfer,4,1,0,,Du lieu (Data/Move)
005F,ATA_T,ANALOG-TO-ANALOG,ATA - Data Transfer (Analog) (obs),1,1,0,x,Du lieu (Data/Move)
40BC,40BC_I,AR,AR - AND Register (2-input),2,1,0,,Du lieu (Data/Move)
40BD,40BD_I,AR,AR - AND Register (1-input & 1-para),1,1,1,,Du lieu (Data/Move)
1006,AR_TS,AR,AR - AND Register (obs),2,1,0,x,Du lieu (Data/Move)
409E,ATA_I,ATA,ATA - Data Transfer (Analog),1,1,0,,Du lieu (Data/Move)
20AA,F_BMP2_TS,BMP2,BMP2 - Bumpless Transfer 2 (obs),3,1,2,x,Du lieu (Data/Move)
0047,BMP_T,BUMPLESS-TRANSFER,BMP - Bumpless Transfer (obs),3,1,1,x,Du lieu (Data/Move)
005E,DTD_T,DIGITAL-TO-DIGITAL,DTD - Data Transfer (Digital) (obs),1,1,0,x,Du lieu (Data/Move)
409D,DTD_I,DTD,DTD - Data Transfer (Digital),1,1,0,,Du lieu (Data/Move)
820E,MV_TG,MV,MV - MV Station,13,3,13,,Du lieu (Data/Move)
8210,MVF_TG,MV-FF,MV-FF - MV Station with FF,17,5,13,,Du lieu (Data/Move)
820D,MVPOS_TG,MV-POS,MV-POS - MV Station with POS,14,4,17,,Du lieu (Data/Move)
40BE,40BE_I,ORR,OR - OR Register (2-input),2,1,0,,Du lieu (Data/Move)
40BF,40BF_I,ORR,OR - OR Register (1-input & 1-para),1,1,1,,Du lieu (Data/Move)
1007,ORR_TS,ORR,ORR - OR Register (obs),2,1,0,x,Du lieu (Data/Move)
4100,F_4100_I,PLUL,Power Load Unbalance Detection Module Interface,1,16,5,,Du lieu (Data/Move)
40C2,40C2_I,RCK,RCK - Register Check,1,1,0,,Du lieu (Data/Move)
40C3,40C3_I,RCK,RCR - Register Check with AR,1,1,1,,Du lieu (Data/Move)
40C4,40C4_I,RCK,RCX - Register Check with XOR,1,1,1,,Du lieu (Data/Move)
414A,F_414A_I,SEND_REG,Send Register Data,2,0,1,,Du lieu (Data/Move)
820B,SM_TG,SV/MV,SV/MV - SV & MV Station,18,6,19,,Du lieu (Data/Move)
820A,SMP_TG,SV/MV-POS,SV/MV-POS - SV & MV Station with POS,19,7,23,,Du lieu (Data/Move)
40AE,F_TBL1_I,TBL1,TBL - Bumpless Transfer (LAG) (X1:L /X2:D /SW:U),3,1,6,,Du lieu (Data/Move)
40AF,F_TBL2_I,TBL2,TBL - Bumpless Transfer (LAG) (X1:D /X2:L /SW:U),3,1,6,,Du lieu (Data/Move)
40B0,F_TBL3_I,TBL3,TBL - Bumpless Transfer (LAG) (X1:U /X2:L /SW:U),3,1,6,,Du lieu (Data/Move)
40B1,F_TBL4_I,TBL4,TBL - Bumpless Transfer (LAG) (X1:L /X2:D /SW:D),3,1,6,,Du lieu (Data/Move)
40B2,F_TBL5_I,TBL5,TBL - Bumpless Transfer (LAG) (X1:D /X2:L /SW:D),3,1,6,,Du lieu (Data/Move)
40B3,F_TBL6_I,TBL6,TBL - Bumpless Transfer (LAG) (X1:U /X2:L /SW:D),3,1,6,,Du lieu (Data/Move)
4073,F_T_B1_I,TRAN-BMP1,Tb - Bumpless Transfer (X1:L /X2:D /SW:U),3,1,4,,Du lieu (Data/Move)
4074,F_T_B2_I,TRAN-BMP2,Tb - Bumpless Transfer (X1:D /X2:L /SW:U),3,1,4,,Du lieu (Data/Move)
4075,F_T_B3_I,TRAN-BMP3,Tb - Bumpless Transfer (X1:U /X2:L /SW:U),3,1,4,,Du lieu (Data/Move)
4076,F_T_B4_I,TRAN-BMP4,Tb - Bumpless Transfer (X1:L /X2:D /SW:D),3,1,4,,Du lieu (Data/Move)
4090,F_T_B5_I,TRAN-BMP5,Tb - Bumpless Transfer (X1:D /X2:L /SW:D),3,1,4,,Du lieu (Data/Move)
4091,F_T_B6_I,TRAN-BMP6,Tb - Bumpless Transfer (X1:U /X2:L /SW:D),3,1,4,,Du lieu (Data/Move)
40D8,40D8_I,XFR,XFR,2,1,1,,Du lieu (Data/Move)
8241,8241_TG,XFRDUAL,X-DUAL - Dual Gate Sensor for Transfer,10,4,7,,Du lieu (Data/Move)
8247,8247_TG,XFRMV,X-MV - MV Station for Transfer,18,4,7,,Du lieu (Data/Move)
8246,8246_TG,XFRSV,X-SV - SV Station for Transfer,18,4,7,,Du lieu (Data/Move)
8245,8245_TG,XFRSV/MV,X-SV/MV - SV & MV Station for Transfer,19,7,10,,Du lieu (Data/Move)
8248,8248_TG,XFRTRIPL,X-TRIPLE - Triple Gate Sensor for Transfer,16,5,8,,Du lieu (Data/Move)
40C0,40C0_I,XOR,XOR - XOR Register (2-input),2,1,0,,Du lieu (Data/Move)
